Sales,"Clarinet Institute Music Archives"
"Date Pulled","Aug 19, 2024"
"Report Range","Jul 20, 2020","Aug 19, 2024"
Grouping,day

"Key Stats"
,Count,Trend
Sales,96475.03999999963,-45
Orders,2610,-54
"Conversion Rate",0.7,-
"Average Order Value",32.854297,6
"Sales Per Visit",0.26,-
"Units Sold",3798,-54

Comparison
,Sales,Orders
2021-03-13,284.1,4
2021-03-14,126.5,3
2021-03-15,0,0
2021-03-16,111.3,3
2021-03-17,249.9,9
2021-03-18,521.9,11
2021-03-19,33.5,1
2021-03-20,188,5
2021-03-21,0,0
2021-03-22,48.9,2
2021-03-23,151.9,6
2021-03-24,16.75,1
2021-03-25,176.75,4
2021-03-26,69.4,3
2021-03-27,255.7,6
2021-03-28,100.35,3
2021-03-29,68.2,4
2021-03-30,95.15,2
2021-03-31,0,0
2021-04-01,0,0
2021-04-02,30.95,1
2021-04-03,117.1,4
2021-04-04,33.5,2
2021-04-05,679.25,1
2021-04-06,286.85,13
2021-04-07,111.1,2
2021-04-08,68.2,3
2021-04-09,0,0
2021-04-10,30.95,1
2021-04-11,81.85,3
2021-04-12,265.45,3
2021-04-13,218.1,8
2021-04-14,118.15,2
2021-04-15,130.25,4
2021-04-16,123.25,4
2021-04-17,59.85,1
2021-04-18,144.45,3
2021-04-19,0,0
2021-04-20,285.95,12
2021-04-21,35.9,1
2021-04-22,131.45,4
2021-04-23,0,0
2021-04-24,195.2,2
2021-04-25,79.45,2
2021-04-26,16.75,1
2021-04-27,243.6,6
2021-04-28,311.95,9
2021-04-29,33.5,2
2021-04-30,34.7,2
2021-05-01,32.15,1
2021-05-02,62.05,1
2021-05-03,35.9,1
2021-05-04,289.7,6
2021-05-05,88.55,2
2021-05-06,16.75,1
2021-05-07,0,0
2021-05-08,182.35,5
2021-05-09,60.85,1
2021-05-10,16.75,1
2021-05-11,217.45,7
2021-05-12,206,6
2021-05-13,86,2
2021-05-14,50.25,3
2021-05-15,78.8,2
2021-05-16,0,0
2021-05-17,61.65,3
2021-05-18,137.45,3
2021-05-19,114.7,2
2021-05-20,238.8,4
2021-05-21,0,0
2021-05-22,150.75,1
2021-05-23,81.2,1
2021-05-24,202.9,3
2021-05-25,51.45,2
2021-05-26,0,0
2021-05-27,110.6,3
2021-05-28,194.7,3
2021-05-29,0,0
2021-05-30,171.95,4
2021-05-31,65.75,1
2021-06-01,176.4,6
2021-06-02,197.2,3
2021-06-03,33.5,2
2021-06-04,35.9,1
2021-06-05,33.5,1
2021-06-06,52.65,2
2021-06-07,35.9,1
2021-06-08,16.75,1
2021-06-09,84.8,3
2021-06-10,16.75,1
2021-06-11,0,0
2021-06-12,17.95,1
2021-06-13,30.95,1
2021-06-14,92.35,1
2021-06-15,50.25,3
2021-06-16,102.9,3
2021-06-17,60.85,1
2021-06-18,33.5,1
2021-06-19,50.25,2
2021-06-20,0,0
2021-06-21,84.8,3
2021-06-22,16.75,1
2021-06-23,68.2,2
2021-06-24,0,0
2021-06-25,118.15,3
2021-06-26,16.75,1
2021-06-27,0,0
2021-06-28,65.65,3
2021-06-29,117.1,4
2021-06-30,143.1,3
2021-07-01,34.7,2
2021-07-02,16.75,1
2021-07-03,0,0
2021-07-04,0,0
2021-07-05,78.65,3
2021-07-06,185.45,9
2021-07-07,33.5,2
2021-07-08,30.95,1
2021-07-09,0,0
2021-07-10,0,0
2021-07-11,0,0
2021-07-12,33.5,1
2021-07-13,98.25,4
2021-07-14,35.9,2
2021-07-15,61.9,1
2021-07-16,78.65,1
2021-07-17,0,0
2021-07-18,32.15,1
2021-07-19,16.75,1
2021-07-20,448.9,9
2021-07-21,308.65,4
2021-07-22,32.15,1
2021-07-23,0,0
2021-07-24,95.4,1
2021-07-25,33.5,1
2021-07-26,83.75,3
2021-07-27,67,3
2021-07-28,330.7,8
2021-07-29,51.45,2
2021-07-30,129.95,4
2021-07-31,16.75,1
2021-08-01,79.85,3
2021-08-02,48.9,2
2021-08-03,198.3,5
2021-08-04,193.5,5
2021-08-05,33.5,2
2021-08-06,34.7,2
2021-08-07,17.95,1
2021-08-08,45.95,1
2021-08-09,356.75,6
2021-08-10,16.75,1
2021-08-11,150.7,5
2021-08-12,133.85,4
2021-08-13,171.25,3
2021-08-14,0,0
2021-08-15,0,0
2021-08-16,30.95,1
2021-08-17,491.1,11
2021-08-18,130.1,4
2021-08-19,68.05,2
2021-08-20,67,3
2021-08-21,0,0
2021-08-22,0,0
2021-08-23,0,0
2021-08-24,197.1,6
2021-08-25,134,4
2021-08-26,131.45,3
2021-08-27,66.85,2
2021-08-28,0,0
2021-08-29,62.05,1
2021-08-30,0,0
2021-08-31,16.75,1
2021-09-01,0,0
2021-09-02,0,0
2021-09-03,0,0
2021-09-04,0,0
2021-09-05,0,0
2021-09-06,13.95,1
2021-09-07,229.2,6
2021-09-08,399.8,14
2021-09-09,185.95,5
2021-09-10,51.45,2
2021-09-11,16.75,1
2021-09-12,188.7,4
2021-09-13,0,0
2021-09-14,50.25,1
2021-09-15,68.05,2
2021-09-16,0,0
2021-09-17,67,1
2021-09-18,79.85,3
2021-09-19,50.25,1
2021-09-20,0,0
2021-09-21,578.15,24
2021-09-22,157.75,8
2021-09-23,171.55,5
2021-09-24,113.55,3
2021-09-25,87.55,3
2021-09-26,67,3
2021-09-27,16.75,1
2021-09-28,148.2,3
2021-09-29,32.35,1
2021-09-30,166,1
2021-10-01,176,3
2021-10-02,0,0
2021-10-03,0,0
2021-10-04,65.85,2
2021-10-05,71.2,3
2021-10-06,231.15,6
2021-10-07,139.15,3
2021-10-08,34.9,2
2021-10-09,0,0
2021-10-10,0,0
2021-10-11,32.35,1
2021-10-12,101.9,5
2021-10-13,79.45,2
2021-10-14,140.9,4
2021-10-15,0,0
2021-10-16,179.8,3
2021-10-17,0,0
2021-10-18,0,0
2021-10-19,67,3
2021-10-20,162.65,4
2021-10-21,0,0
2021-10-22,30.95,1
2021-10-23,0,0
2021-10-24,97.05,2
2021-10-25,272.5,2
2021-10-26,135.65,3
2021-10-27,77.6,2
2021-10-28,172.95,2
2021-10-29,115.25,4
2021-10-30,0,0
2021-10-31,233.9,4
2021-11-01,34.9,2
2021-11-02,81.2,3
2021-11-03,16.75,1
2021-11-04,18.15,1
2021-11-05,0,0
2021-11-06,0,0
2021-11-07,54.45,2
2021-11-08,53.05,3
2021-11-09,95.3,2
2021-11-10,212.9,5
2021-11-11,0,0
2021-11-12,30.95,1
2021-11-13,0,0
2021-11-14,0,0
2021-11-15,0,0
2021-11-16,77.6,1
2021-11-17,80.6,2
2021-11-18,33.5,2
2021-11-19,0,0
2021-11-20,0,0
2021-11-21,0,0
2021-11-22,117.75,4
2021-11-23,65.85,2
2021-11-24,30.95,1
2021-11-25,54.45,3
2021-11-26,266.99,2
2021-11-27,0,0
2021-11-28,0,0
2021-11-29,61.99,1
2021-11-30,225.49,6
2021-12-01,33.39,1
2021-12-02,48.98,2
2021-12-03,16.99,1
2021-12-04,92,2
2021-12-05,0,0
2021-12-06,0,0
2021-12-07,48.97,2
2021-12-08,154.97,1
2021-12-09,0,0
2021-12-10,0,0
2021-12-11,143.77,2
2021-12-12,0,0
2021-12-13,16.99,1
2021-12-14,96.36,4
2021-12-15,81.96,3
2021-12-16,0,0
2021-12-17,79.97,3
2021-12-18,33.98,1
2021-12-19,67.96,2
2021-12-20,0,0
2021-12-21,62.98,1
2021-12-22,0,0
2021-12-23,0,0
2021-12-24,0,0
2021-12-25,0,0
2021-12-26,48.98,1
2021-12-27,188.3,2
2021-12-28,0,0
2021-12-29,100.77,1
2021-12-30,79.38,2
2021-12-31,0,0
2022-01-01,0,0
2022-01-02,0,0
2022-01-03,0,0
2022-01-04,0,0
2022-01-05,48.98,1
2022-01-06,0,0
2022-01-07,0,0
2022-01-08,0,0
2022-01-09,33.98,1
2022-01-10,61.99,1
2022-01-11,46,1
2022-01-12,0,0
2022-01-13,63.39,1
2022-01-14,95.97,1
2022-01-15,0,0
2022-01-16,0,0
2022-01-17,0,0
2022-01-18,33.39,1
2022-01-19,98.77,3
2022-01-20,0,0
2022-01-21,0,0
2022-01-22,0,0
2022-01-23,0,0
2022-01-24,36.78,1
2022-01-25,115.76,2
2022-01-26,16.99,1
2022-01-27,16.99,1
2022-01-28,18.39,1
2022-01-29,52.37,2
2022-01-30,0,0
2022-01-31,35.38,2
2022-02-01,36.78,1
2022-02-02,33.98,2
2022-02-03,63.39,1
2022-02-04,16.99,1
2022-02-05,0,0
2022-02-06,0,0
2022-02-07,78.97,2
2022-02-08,55.17,2
2022-02-09,0,0
2022-02-10,0,0
2022-02-11,0,0
2022-02-12,16.99,1
2022-02-13,80.34,2
2022-02-14,31.99,1
2022-02-15,139.25,3
2022-02-16,93.3,2
2022-02-17,0,0
2022-02-18,0,0
2022-02-19,0,0
2022-02-20,0,0
2022-02-21,0,0
2022-02-22,0,0
2022-02-23,0,0
2022-02-24,0,0
2022-02-25,0,0
2022-02-26,0,0
2022-02-27,30.99,1
2022-02-28,45.95,1
2022-03-01,18.35,1
2022-03-02,49.75,1
2022-03-03,63.35,1
2022-03-04,0,0
2022-03-05,0,0
2022-03-06,33.9,1
2022-03-07,0,0
2022-03-08,80.3,2
2022-03-09,0,0
2022-03-10,125.8,3
2022-03-11,0,0
2022-03-12,0,0
2022-03-13,59.94,2
2022-03-14,0,0
2022-03-15,254.35,4
2022-03-16,0,0
2022-03-17,0,0
2022-03-18,0,0
2022-03-19,0,0
2022-03-20,0,0
2022-03-21,0,0
2022-03-22,0,0
2022-03-23,0,0
2022-03-24,45.95,1
2022-03-25,0,0
2022-03-26,0,0
2022-03-27,109.8,2
2022-03-28,118.65,1
2022-03-29,16.95,1
2022-03-30,0,0
2022-03-31,0,0
2022-04-01,114.09,2
2022-04-02,61.95,1
2022-04-03,0,0
2022-04-04,61.95,1
2022-04-05,0,0
2022-04-06,96.24,3
2022-04-07,62.9,2
2022-04-08,16.95,1
2022-04-09,80.93,4
2022-04-10,128.1,2
2022-04-11,97.65,2
2022-04-12,64.85,2
2022-04-13,0,0
2022-04-14,0,0
2022-04-15,16.95,1
2022-04-16,0,0
2022-04-17,0,0
2022-04-18,16.95,1
2022-04-19,182.44,6
2022-04-20,61.95,1
2022-04-21,0,0
2022-04-22,0,0
2022-04-23,16.95,1
2022-04-24,0,0
2022-04-25,0,0
2022-04-26,144.74,1
2022-04-27,14.99,1
2022-04-28,33.94,1
2022-04-29,48.9,2
2022-04-30,0,0
2022-05-01,0,0
2022-05-02,131.55,2
2022-05-03,244.15,1
2022-05-04,0,0
2022-05-05,0,0
2022-05-06,33.9,1
2022-05-07,33.9,1
2022-05-08,0,0
2022-05-09,0,0
2022-05-10,16.95,1
2022-05-11,0,0
2022-05-12,0,0
2022-05-13,0,0
2022-05-14,0,0
2022-05-15,0,0
2022-05-16,0,0
2022-05-17,96.2,3
2022-05-18,82.65,2
2022-05-19,16.39,1
2022-05-20,18.35,1
2022-05-21,0,0
2022-05-22,16.95,1
2022-05-23,62.94,1
2022-05-24,0,0
2022-05-25,208.5,5
2022-05-26,0,0
2022-05-27,0,0
2022-05-28,0,0
2022-05-29,0,0
2022-05-30,33.9,1
2022-05-31,84.75,4
2022-06-01,0,0
2022-06-02,83.95,1
2022-06-03,93.85,1
2022-06-04,0,0
2022-06-05,0,0
2022-06-06,18.35,1
2022-06-07,33.9,2
2022-06-08,124.25,2
2022-06-09,81.25,2
2022-06-10,0,0
2022-06-11,0,0
2022-06-12,0,0
2022-06-13,16.95,1
2022-06-14,113.75,4
2022-06-15,79.85,2
2022-06-16,0,0
2022-06-17,33.35,1
2022-06-18,0,0
2022-06-19,101.6,1
2022-06-20,0,0
2022-06-21,16.95,1
2022-06-22,13.95,1
2022-06-23,0,0
2022-06-24,80.3,2
2022-06-25,0,0
